"Link Color (on item hover)", "Link Color (on item hover)"
"Link Color (on hover)", "Link Color (on hover)"
"Posts List Item (Archived)", "Posts List Item (Archived)"
"Archived Label Color", "Archived Label Color"
"Archived Label Background Color", "Archived Label Background Color"
"Archived Label Background Color (on hover)", "Archived Label Background Color (on hover)"
"Archived Label Text Font Size", "Archived Label Text Font Size"
"Content Text Color", "Content Text Color"
"Content Text Font Size", "Content Text Font Size"
"Show All Posts", "Show All Posts"
"All Posts", "All Posts"
"Post Date", "Post Date"
"Homepage", "Homepage"
"Author", "Author"
"Blog", "Blog"
"Categories", "Category"
"Posts", "Post"
"Manage Post Comments", "Manage Post Comments"
"Write Your Comment", "Write Your Comment"
"Comment title", "Comment title"
"Attached Products", "Attached Products"
"Necessarily Poster Email", "Necessarily Poster Email"
"%s by %s", "%s by %s"
"There are no posts at this moment", "There are no posts at this moment"
"All %s for %s", "All %s for %s"
"All %s for category ""%s""", "All %s for category ""%s"""
"posts", "posts"
"Show all posts", "Show all posts"
"Product Page and Category Page", "Product Page and Category Page"
"Enable", "Enable"
"Show Posts as Slider", "Show Posts as Slider"
"Posts per Row/Page", "Posts per Row/Page"
"min 3 max 20", "min 3 max 20"
"Show Posts Tabs on Category Page", "Show Posts Tabs on Category Page"
"Show Posts Tabs on Product Page", "Show Posts Tabs on Product Page"
"Archive Post After (days)", "Archive Post After (days)"
"Show Category Description", "Show Category Description"
"Tab posts limit", "Tab posts limit"
"Category Page Posts Tabs", "Category Page Posts Tabs"
"Product Page Posts Tabs", "Product Page Posts Tabs"
